backend,curve,simd,orientation,layout,cache,threads,phase,samples,median_ms,p10_ms,p90_ms,avx_msm_min,avx_msm_max,avx_each_min,avx_each_max
mcl,bls12_381,avx512,swapped,1x16,cold,12,preparation,30,39.4933055,39.422871900000004,39.6578547,15,15,1,1
mcl,bls12_381,avx512,swapped,1x16,cold,12,share_generation,30,2.8821045,2.8681547000000003,2.8948780999999997,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cold,12,validation,30,1.049627,1.0394409999999998,1.0642352,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cached,12,acceptance,30,5.192083,5.1478133,5.2170371,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cached,12,combiner,30,15.3542585,15.2568217,15.4047844,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cached,12,encryption,30,1.099435,1.0877557,1.1107818999999999,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cached,12,end_to_end,30,20.706370999999997,20.594859,20.7691331,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cached,12,opening,30,8.454685000000001,8.4147522,8.469178,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cached,12,precompute,30,1.7072910000000001,1.6616775,1.7444291,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cached,12,preparation,30,2e-05,2e-05,2e-05,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cached,12,share_generation,30,3.2476915,3.2319937,3.255093,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cached,12,validation,30,1.0118900000000002,0.9956144,1.0261441,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cold,12,acceptance,30,5.179125,5.1639339,5.2032097,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cold,12,combiner,30,29.9723755,29.852554700000002,30.092862099999998,3,3,0,0
mcl,bls12_381,avx512,swapped,4x4,cold,12,encryption,30,1.0935575,1.082497,1.1034632,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cold,12,end_to_end,30,35.323291,35.1974331,35.4396164,3,3,0,0
mcl,bls12_381,avx512,swapped,4x4,cold,12,opening,30,8.435684,8.4203727,8.4489261,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cold,12,precompute,30,1.7329504999999998,1.6709623999999998,1.8068215,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cold,12,preparation,30,14.6276805,14.5872364,14.7067113,3,3,0,0
mcl,bls12_381,avx512,swapped,4x4,cold,12,share_generation,30,3.2446275,3.2314134,3.2505644,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cold,12,validation,30,1.014363,1.0057069,1.0258281,0,0,0,0
mcl,bls12_381,avx512,swapped,8x2,cached,12,acceptance,30,5.0188495,4.9788758,5.0586376,0,0,0,0
mcl,bls12_381,avx512,swapped,8x2,cached,12,combiner,30,14.796497500000001,14.750358799999999,14.8468398,0,0,0,0
mcl,bls12_381,avx512,swapped,8x2,cached,12,encryption,30,1.0967115,1.0776706,1.1129955,0,0,0,0
mcl,bls12_381,avx512,swapped,8x2,cached,12,end_to_end,30,20.1890605,20.0579219,20.2399723,0,0,0,0
mcl,bls12_381,avx512,swapped,8x2,cached,12,opening,30,8.4571635,8.4253359,8.4809033,0,0,0,0
mcl,bls12_381,avx512,swapped,8x2,cached,12,precompute,30,1.3202635,1.2841361,1.3421353,0,0,0,0
mcl,bls12_381,avx512,swapped,8x2,cached,12,preparation,30,2e-05,2e-05,2e-05,0,0,0,0
