config,error,total,cache,phase,N,W,q,tau,accepted_weight,samples,mean_ms,median_ms,p10_ms,p90_ms,avx_msm_min,avx_msm_max,avx_each_min,avx_each_max
bls_avx_swapped_split2,1/16,256,cold,share_generation,419,1580,1060,76,1062,30,95.43961196666666,94.7159135,94.42722429999999,95.0238265,0,0,0,0
bls_avx_swapped_split2,1/16,256,cold,validate_per_validator,419,1580,1060,76,1062,30,1.7262944890350878,1.730541947368421,1.7096929513157895,1.7436788342105263,,,,
bls_avx_swapped_split2,1/16,256,cold,validation,419,1580,1060,76,1062,30,12.3397249,12.3480155,11.3360378,13.3764255,0,0,0,0
bls_avx_swapped_split2,1/32,16,cached,acceptance,598,3063,2044,79,2046,30,9.5916645,9.602367000000001,9.537278200000001,9.6389405,0,0,0,0
bls_avx_swapped_split2,1/32,16,cached,combiner,598,3063,2044,79,2046,30,27.8993366,27.898066,27.800436899999998,27.9928981,0,0,0,0
bls_avx_swapped_split2,1/32,16,cached,dec_open,598,3063,2044,79,2046,30,18.307520933333333,18.306845499999998,18.2524431,18.3655341,,,,
bls_avx_swapped_split2,1/32,16,cached,decryption_total,598,3063,2044,79,2046,30,34.445868233333336,34.4572865,34.3129202,34.5425987,0,0,0,0
bls_avx_swapped_split2,1/32,16,cached,encryption,598,3063,2044,79,2046,30,1.1034745666666665,1.10581,1.090827,1.1130601,0,0,0,0
bls_avx_swapped_split2,1/32,16,cached,encryption_per_item,598,3063,2044,79,2046,30,0.06896716041666666,0.069113125,0.0681766875,0.06956625625,,,,
bls_avx_swapped_split2,1/32,16,cached,end_to_end,598,3063,2044,79,2046,30,36.5607733,36.570886,36.4125668,36.672936400000005,0,0,0,0
bls_avx_swapped_split2,1/32,16,cached,opening,598,3063,2044,79,2046,30,16.983957166666666,16.9904005,16.9376581,17.0188965,0,0,0,0
bls_avx_swapped_split2,1/32,16,cached,precompute,598,3063,2044,79,2046,30,1.3235637666666666,1.3228529999999998,1.2856769,1.3635753,0,0,0,0
bls_avx_swapped_split2,1/32,16,cached,predec_per_validator,598,3063,2044,79,2046,30,0.08286671223628692,0.08292498101265823,0.08243817468354431,0.08312182278481013,,,,
bls_avx_swapped_split2,1/32,16,cached,preparation,598,3063,2044,79,2046,30,2e-05,2e-05,2e-05,2e-05,0,0,0,0
bls_avx_swapped_split2,1/32,16,cached,share_generation,598,3063,2044,79,2046,30,6.546470266666666,6.5510735,6.5126158,6.566624,0,0,0,0
bls_avx_swapped_split2,1/32,16,cached,validate_per_validator,598,3063,2044,79,2046,30,0.1214134746835443,0.12154894936708861,0.12072504050632912,0.12201190506329114,,,,
bls_avx_swapped_split2,1/32,16,cached,validation,598,3063,2044,79,2046,30,1.0113025666666666,1.010574,1.0018129,1.020205,0,0,0,0
bls_avx_swapped_split2,1/32,16,cold,acceptance,598,3063,2044,79,2046,30,9.5314429,9.52444,9.5020418,9.573184000000001,0,0,0,0
bls_avx_swapped_split2,1/32,16,cold,combiner,598,3063,2044,79,2046,30,54.52374426666667,54.462458,54.3131217,54.7817102,1,1,0,0
bls_avx_swapped_split2,1/32,16,cold,dec_open,598,3063,2044,79,2046,30,18.7572066,18.745719,18.5522282,18.981379699999998,,,,
bls_avx_swapped_split2,1/32,16,cold,decryption_total,598,3063,2044,79,2046,30,61.0374798,60.974518,60.8334893,61.290544700000005,1,1,0,0
bls_avx_swapped_split2,1/32,16,cold,encryption,598,3063,2044,79,2046,30,1.0998676666666667,1.09863,1.088617,1.1104875,0,0,0,0
bls_avx_swapped_split2,1/32,16,cold,encryption_per_item,598,3063,2044,79,2046,30,0.06874172916666667,0.068664375,0.0680385625,0.06940546875,,,,
bls_avx_swapped_split2,1/32,16,cold,end_to_end,598,3063,2044,79,2046,30,63.150749,63.094632000000004,62.942507000000006,63.3897682,1,1,0,0
bls_avx_swapped_split2,1/32,16,cold,opening,598,3063,2044,79,2046,30,16.895739533333334,16.8810055,16.8548014,16.9164059,0,0,0,0
bls_avx_swapped_split2,1/32,16,cold,precompute,598,3063,2044,79,2046,30,1.8614670666666666,1.856747,1.6578457,2.0768421,0,0,0,0
bls_avx_swapped_split2,1/32,16,cold,predec_per_validator,598,3063,2044,79,2046,30,0.0824516253164557,0.08244609493670886,0.08226144810126582,0.08266467468354431,,,,
bls_avx_swapped_split2,1/32,16,cold,preparation,598,3063,2044,79,2046,30,26.23495116666667,26.216986499999997,26.1424108,26.3388422,1,1,0,0
bls_avx_swapped_split2,1/32,16,cold,share_generation,598,3063,2044,79,2046,30,6.5136784,6.5132414999999995,6.4986544,6.5305093,0,0,0,0
bls_avx_swapped_split2,1/32,16,cold,validate_per_validator,598,3063,2044,79,2046,30,0.1206511759493671,0.12056253164556963,0.12027901012658228,0.12117954430379747,,,,
bls_avx_swapped_split2,1/32,16,cold,validation,598,3063,2044,79,2046,30,1.0132706333333334,1.0124465,1.0007270000000001,1.031111,0,0,0,0
bls_avx_swapped_split2,1/64,16,cached,acceptance,688,6489,4327,79,4333,30,9.603068433333334,9.59389,9.5283522,9.633674,0,0,0,0
bls_avx_swapped_split2,1/64,16,cached,combiner,688,6489,4327,79,4333,30,27.9161836,27.906454,27.799803999999998,27.954687800000002,0,0,0,0
bls_avx_swapped_split2,1/64,16,cached,dec_open,688,6489,4327,79,4333,30,18.31294653333333,18.306244,18.2268947,18.388288600000003,,,,
bls_avx_swapped_split2,1/64,16,cached,decryption_total,688,6489,4327,79,4333,30,34.5012343,34.4553585,34.2982289,34.5211199,0,0,0,0
bls_avx_swapped_split2,1/64,16,cached,encryption,688,6489,4327,79,4333,30,1.1028705,1.102225,1.0916099000000001,1.1132961000000001,0,0,0,0
bls_avx_swapped_split2,1/64,16,cached,encryption_per_item,688,6489,4327,79,4333,30,0.06892940625,0.0688890625,0.06822561875000001,0.06958100625000001,,,,
bls_avx_swapped_split2,1/64,16,cached,end_to_end,688,6489,4327,79,4333,30,36.61187916666667,36.564437999999996,36.4218818,36.6843588,0,0,0,0
