config,error,total,batch,cache,round,sample,phase,ms
blst_original,1/8,16,16,cold,1,12,end_to_end,137.10758
blst_original,1/8,16,16,cold,1,12,dec_open,22.730390999999997
blst_original,1/8,16,16,cold,1,12,encryption_per_item,0.0684584375
blst_original,1/8,16,16,cold,1,12,predec_per_validator,0.04554157627118644
blst_original,1/8,16,16,cold,1,12,validate_per_validator,0.16539903389830507
blst_original,1/8,16,16,cold,1,13,encryption,1.087925
blst_original,1/8,16,16,cold,1,13,validation,0.33446000000000004
blst_original,1/8,16,16,cold,1,13,share_generation,2.6766289999999997
blst_original,1/8,16,16,cold,1,13,acceptance,9.768255
blst_original,1/8,16,16,cold,1,13,preparation,99.71602
blst_original,1/8,16,16,cold,1,13,precompute,8.657248
blst_original,1/8,16,16,cold,1,13,opening,14.084268
blst_original,1/8,16,16,cold,1,13,combiner,132.225911
blst_original,1/8,16,16,cold,1,13,decryption_total,134.90259
blst_original,1/8,16,16,cold,1,13,end_to_end,136.325035
blst_original,1/8,16,16,cold,1,13,dec_open,22.741515999999997
blst_original,1/8,16,16,cold,1,13,encryption_per_item,0.0679953125
blst_original,1/8,16,16,cold,1,13,predec_per_validator,0.04536659322033898
blst_original,1/8,16,16,cold,1,13,validate_per_validator,0.1655636440677966
blst_original,1/8,16,16,cold,1,14,encryption,1.104358
blst_original,1/8,16,16,cold,1,14,validation,0.34803900000000004
blst_original,1/8,16,16,cold,1,14,share_generation,2.7007220000000003
blst_original,1/8,16,16,cold,1,14,acceptance,9.752623999999999
blst_original,1/8,16,16,cold,1,14,preparation,94.42788100000001
blst_original,1/8,16,16,cold,1,14,precompute,8.647395000000001
blst_original,1/8,16,16,cold,1,14,opening,14.178927999999999
blst_original,1/8,16,16,cold,1,14,combiner,127.00698799999998
blst_original,1/8,16,16,cold,1,14,decryption_total,129.70787
blst_original,1/8,16,16,cold,1,14,end_to_end,131.160327
blst_original,1/8,16,16,cold,1,14,dec_open,22.826323000000002
blst_original,1/8,16,16,cold,1,14,encryption_per_item,0.069022375
blst_original,1/8,16,16,cold,1,14,predec_per_validator,0.04577494915254238
blst_original,1/8,16,16,cold,1,14,validate_per_validator,0.16529871186440676
blst_swapped,1/8,16,16,cached,1,0,encryption,1.336166
blst_swapped,1/8,16,16,cached,1,0,validation,0.56779
blst_swapped,1/8,16,16,cached,1,0,share_generation,6.047842
blst_swapped,1/8,16,16,cached,1,0,acceptance,7.671394
blst_swapped,1/8,16,16,cached,1,0,preparation,0.0
blst_swapped,1/8,16,16,cached,1,0,precompute,11.591571
blst_swapped,1/8,16,16,cached,1,0,opening,14.090326000000001
blst_swapped,1/8,16,16,cached,1,0,combiner,33.353351
blst_swapped,1/8,16,16,cached,1,0,decryption_total,39.401243
blst_swapped,1/8,16,16,cached,1,0,end_to_end,41.30539
blst_swapped,1/8,16,16,cached,1,0,dec_open,25.681897
blst_swapped,1/8,16,16,cached,1,0,encryption_per_item,0.083510375
blst_swapped,1/8,16,16,cached,1,0,predec_per_validator,0.1025057966101695
blst_swapped,1/8,16,16,cached,1,0,validate_per_validator,0.13002362711864407
blst_swapped,1/8,16,16,cached,1,1,encryption,1.3072260000000002
blst_swapped,1/8,16,16,cached,1,1,validation,0.573188
