scheme,error,total,round,sample,samples,N,source_N,W,q,t,selected_parties,selected_weight,threads,phase,value,ms,unit,statistic,origin,denominator,source_label,log
wpfe,1/16,32,1,0,15,419,419,1580,1060,1059,76,1062,12,validation,1.45,1.45,ms,internal_arithmetic_mean,reported,,"ctxtCheck(B), batched client proofs",wpfe_e16_m32_r1.stdout.log
wpfe,1/16,32,1,0,15,419,419,1580,1060,1059,76,1062,12,validation_per_item,0.045,0.045,ms/item,internal_arithmetic_mean,reported,32,"ctxtCheck(B), batched client proofs",wpfe_e16_m32_r1.stdout.log
wpfe,1/16,32,1,0,15,419,419,1580,1060,1059,76,1062,12,predec_selected,4.979,4.979,ms,internal_arithmetic_mean,reported,,"PreDec(B), all selected parties",wpfe_e16_m32_r1.stdout.log
wpfe,1/16,32,1,0,15,419,419,1580,1060,1059,76,1062,12,predec_selected_per_item,0.066,0.066,ms/item,internal_arithmetic_mean,reported,76,"PreDec(B), all selected parties",wpfe_e16_m32_r1.stdout.log
wpfe,1/16,32,1,0,15,419,419,1580,1060,1059,76,1062,12,acceptance,16.783,16.783,ms,internal_arithmetic_mean,reported,,batched response acceptance,wpfe_e16_m32_r1.stdout.log
wpfe,1/16,32,1,0,15,419,419,1580,1060,1059,76,1062,12,acceptance_per_item,0.221,0.221,ms/item,internal_arithmetic_mean,reported,76,batched response acceptance,wpfe_e16_m32_r1.stdout.log
wpfe,1/16,32,1,0,15,419,419,1580,1060,1059,76,1062,12,preparation,286.049,286.049,ms,internal_arithmetic_mean,reported,,committee interpolation / G2 MSMs,wpfe_e16_m32_r1.stdout.log
wpfe,1/16,32,1,0,15,419,419,1580,1060,1059,76,1062,12,preparation_per_item,8.939,8.939,ms/item,internal_arithmetic_mean,reported,32,committee interpolation / G2 MSMs,wpfe_e16_m32_r1.stdout.log
wpfe,1/16,32,1,0,15,419,419,1580,1060,1059,76,1062,12,precompute,9.966,9.966,ms,internal_arithmetic_mean,reported,,ciphertext-dependent Cauchy precompute,wpfe_e16_m32_r1.stdout.log
wpfe,1/16,32,1,0,15,419,419,1580,1060,1059,76,1062,12,precompute_per_item,0.311,0.311,ms/item,internal_arithmetic_mean,reported,32,ciphertext-dependent Cauchy precompute,wpfe_e16_m32_r1.stdout.log
wpfe,1/16,32,1,0,15,419,419,1580,1060,1059,76,1062,12,opening,28.551,28.551,ms,internal_arithmetic_mean,reported,,weighted opening / unmask,wpfe_e16_m32_r1.stdout.log
wpfe,1/16,32,1,0,15,419,419,1580,1060,1059,76,1062,12,opening_per_item,0.892,0.892,ms/item,internal_arithmetic_mean,reported,32,weighted opening / unmask,wpfe_e16_m32_r1.stdout.log
wpfe,1/16,32,1,0,15,419,419,1580,1060,1059,76,1062,12,cold_with_validation,347.777,347.777,ms,internal_arithmetic_mean,reported,,full cold-committee path incl checks,wpfe_e16_m32_r1.stdout.log
wpfe,1/16,32,1,0,15,419,419,1580,1060,1059,76,1062,12,cached_with_validation,61.728,61.728,ms,internal_arithmetic_mean,reported,,full cached-committee path incl checks,wpfe_e16_m32_r1.stdout.log
wpfe,1/16,32,1,0,15,419,419,1580,1060,1059,76,1062,12,dec_open,38.516999999999996,38.516999999999996,ms,internal_arithmetic_mean,sum_of_rounded_phase_means,,,wpfe_e16_m32_r1.stdout.log
wpfe,1/16,32,1,0,15,419,419,1580,1060,1059,76,1062,12,dec_total_without_validation,346.328,346.328,ms,internal_arithmetic_mean,sum_of_rounded_phase_means,,,wpfe_e16_m32_r1.stdout.log
wpfe,1/16,32,1,0,15,419,419,1580,1060,1059,76,1062,12,dec_cached_without_validation,60.278999999999996,60.278999999999996,ms,internal_arithmetic_mean,sum_of_rounded_phase_means,,,wpfe_e16_m32_r1.stdout.log
wpfe,1/16,32,1,0,1,419,419,1580,1060,1059,76,1062,12,key_core_bytes,9707616,,bytes,single_observation,reported,,core D1/D2/global material,wpfe_e16_m32_r1.stdout.log
wpfe,1/16,32,1,0,1,419,419,1580,1060,1059,76,1062,12,key_verification_bytes,1287168,,bytes,single_observation,reported,,party verification keys,wpfe_e16_m32_r1.stdout.log
wpfe,1/16,32,1,0,1,419,419,1580,1060,1059,76,1062,12,key_decryption_total_bytes,10994784,,bytes,single_observation,reported,,public decryption key,wpfe_e16_m32_r1.stdout.log
wpfe,1/16,64,1,0,1,419,419,1580,1060,1059,76,1062,12,setup,2276.499,2276.499,ms,single_observation,reported,,trusted weighted key generation,wpfe_e16_m64_r1.stdout.log
wpfe,1/16,64,1,0,1,419,419,1580,1060,1059,76,1062,12,encryption,3.187,3.187,ms,single_observation,reported,,encrypt batch,wpfe_e16_m64_r1.stdout.log
wpfe,1/16,64,1,0,1,419,419,1580,1060,1059,76,1062,12,encryption_per_item,0.05,0.05,ms/item,single_observation,reported,64,encrypt batch,wpfe_e16_m64_r1.stdout.log
wpfe,1/16,64,1,0,1,419,419,1580,1060,1059,76,1062,12,fixed_kernel,0.013,0.013,ms,single_observation,reported,,fixed Cauchy FFT kernel,wpfe_e16_m64_r1.stdout.log
wpfe,1/16,64,1,0,15,419,419,1580,1060,1059,76,1062,12,validation,2.465,2.465,ms,internal_arithmetic_mean,reported,,"ctxtCheck(B), batched client proofs",wpfe_e16_m64_r1.stdout.log
wpfe,1/16,64,1,0,15,419,419,1580,1060,1059,76,1062,12,validation_per_item,0.039,0.039,ms/item,internal_arithmetic_mean,reported,64,"ctxtCheck(B), batched client proofs",wpfe_e16_m64_r1.stdout.log
wpfe,1/16,64,1,0,15,419,419,1580,1060,1059,76,1062,12,predec_selected,8.121,8.121,ms,internal_arithmetic_mean,reported,,"PreDec(B), all selected parties",wpfe_e16_m64_r1.stdout.log
wpfe,1/16,64,1,0,15,419,419,1580,1060,1059,76,1062,12,predec_selected_per_item,0.107,0.107,ms/item,internal_arithmetic_mean,reported,76,"PreDec(B), all selected parties",wpfe_e16_m64_r1.stdout.log
